Parameters,min_rewards,max_rewards,mean_rewards,median_rewards,iqr_rewards,shapiro_rewards,min_steps,max_steps,mean_steps,median_steps,iqr_steps,shapiro_steps,min_difference,max_difference,mean_difference,median_difference,iqr_difference,shapiro_difference,min_increase_index,max_increase_index,mean_increase_index,median_increase_index,iqr_increase_index,shapiro_increase_index
E1A6G9,387,476,436.3,435.5,21.5,0.862526501944777,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,77.0,12.15,10.0,11.25,1.4315926451555076e-08
E1A9G1,390,486,436.95,435.5,33.5,0.5423392428158651,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,59.0,11.675,6.0,9.5,1.29864194591995e-07
E1A9G4,401,469,437.45,438.0,15.25,0.06286599898089068,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,49.0,8.05,4.5,6.0,3.835683149788417e-09
E1A9G6,409,474,439.375,441.5,26.75,0.28408252556236757,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,62.0,12.2,8.5,9.5,7.80093832637401e-08
E1A9G9,371,481,429.175,427.0,25.5,0.8064494839503266,6.0,6.0,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,40.0,9.837837837837839,5.0,9.0,7.876784588110549e-07
E4A1G1,2467,2946,2793.0,2831.5,124.75,0.0005207918401958727,6.0,7.0,6.625,7.0,1.0,4.906214377265536e-09,0.0,0.0,0.0,0.0,0.0,,3.0,17.0,4.975,3.0,2.0,8.716768636326345e-09
E4A1G4,2564,2990,2805.85,2837.0,141.5,0.05949006552945407,6.0,7.0,6.525,7.0,1.0,1.0157361838406586e-08,0.0,0.0,0.0,0.0,0.0,,3.0,9.0,4.425,4.0,2.0,3.1540915191527707e-06
E4A1G6,2425,2934,2757.675,2780.0,129.5,0.0030554566293528244,6.0,7.0,6.6,7.0,1.0,6.44306851048433e-09,0.0,0.0,0.0,0.0,0.0,,3.0,14.0,5.125,4.0,2.25,2.0257697996932879e-07
E4A1G9,2601,2979,2787.8,2790.5,100.0,0.9986885074120282,6.0,7.0,6.675,7.0,1.0,6.727480145091373e-09,0.0,0.0,0.0,0.0,0.0,,3.0,10.0,4.3,3.5,2.0,1.051989657261882e-06
E4A4G1,2425,3012,2770.175,2802.5,172.25,0.04586371507653471,6.0,7.0,6.575,7.0,1.0,7.9665509895373e-09,0.0,0.0,0.0,0.0,0.0,,3.0,18.0,5.375,4.0,4.0,1.584166248089217e-07
