Filename,Sum_Rewards,Steps,Difference
E1A1G9T29,395,6.0,0.0036704883729330503
E1A1G9T3,427,6.0,0.0043580277344604495
E1A1G9T30,419,6.0,0.0042180286993539
E1A1G9T31,417,6.0,0.004027853234789399
E1A1G9T32,419,6.0,0.0043399599882226
E1A1G9T33,419,6.0,0.004343311873327951
E1A1G9T34,420,6.0,0.0039833996069155
E1A1G9T35,452,6.0,0.00465299056450065
E1A1G9T36,428,6.0,0.00427719833286495
E1A1G9T37,421,6.0,0.0040729350127766
E1A1G9T38,448,6.0,0.0045573492059441
E1A1G9T39,434,6.0,0.00444686065597395
E1A1G9T4,430,6.0,0.0044421717692415
E1A1G9T40,439,6.0,0.004515115902687749
E1A1G9T5,418,6.0,0.004089954431554899
E1A1G9T6,377,6.0,0.0037507515996277503
E1A1G9T7,391,6.0,0.00386496445257045
E1A1G9T8,442,6.0,0.00458335069045075
E1A1G9T9,444,6.0,0.004391895386497599
E1A4G1T1,457,6.0,3.646233223874943e-07
E1A4G1T10,454,6.0,3.5771241123035855e-07
E1A4G1T11,413,6.0,3.5637022184611065e-07
E1A4G1T12,425,6.0,2.53102857329834e-07
E1A4G1T13,417,6.0,3.389217588629957e-07
E1A4G1T14,388,6.0,2.3112978651308216e-07
E1A4G1T15,452,6.0,3.7844732869852467e-07
E1A4G1T16,429,6.0,3.4457097053053135e-07
E1A4G1T17,413,6.0,2.828742656515083e-07
E1A4G1T18,390,6.0,2.477041693362187e-07
E1A4G1T19,411,6.0,2.906534711438818e-07
E1A4G1T2,422,6.0,3.07633938821067e-07
E1A4G1T20,414,6.0,2.639638553226161e-07
E1A4G1T21,418,6.0,2.78212192391245e-07
E1A4G1T22,419,6.0,2.2659517969569676e-07
E1A4G1T23,406,6.0,2.4257144287446196e-07
E1A4G1T24,419,6.0,2.9934344096914266e-07
E1A4G1T25,412,6.0,2.6997860871251815e-07
E1A4G1T26,475,6.0,3.158466207262303e-07
E1A4G1T27,402,6.0,2.3874281057628544e-07
E1A4G1T28,435,6.0,2.9479655628160925e-07
E1A4G1T29,409,6.0,3.3265122957634283e-07
E1A4G1T3,404,6.0,2.893874234660168e-07
E1A4G1T30,407,6.0,2.312625999767468e-07
E1A4G1T31,406,6.0,3.326516645859894e-07
E1A4G1T32,403,6.0,1.4834674932394345e-07
E1A4G1T33,410,6.0,2.820514499592412e-07
E1A4G1T34,395,6.0,2.3524180137179585e-07
E1A4G1T35,408,6.0,2.7981485658021434e-07
E1A4G1T36,413,6.0,2.8577418150365264e-07
E1A4G1T37,444,6.0,3.248464361551516e-07
E1A4G1T38,401,6.0,1.4610480149738449e-07
E1A4G1T39,393,6.0,2.3012350060533336e-07
E1A4G1T4,434,6.0,3.43611099050783e-07
E1A4G1T40,428,6.0,2.956791143910593e-07
E1A4G1T5,441,6.0,3.435883257706921e-07
E1A4G1T6,401,6.0,2.567769617727999e-07
E1A4G1T7,422,6.0,2.9034710421011254e-07
E1A4G1T8,442,6.0,3.867131500064006e-07
E1A4G1T9,384,6.0,2.295767181336363e-07
E1A4G4T1,417,6.0,0.00017916124042695
E1A4G4T10,396,6.0,0.00016411730975365
E1A4G4T11,421,6.0,0.00019201274777135003
E1A4G4T12,418,6.0,0.00019575149982555
E1A4G4T13,383,6.0,0.00017723520074000001
E1A4G4T14,430,6.0,0.0002053639133971
E1A4G4T15,409,6.0,0.00017739951291115
E1A4G4T16,411,6.0,0.00018611380389690001
E1A4G4T17,369,6.0,0.0001286384162136
E1A4G4T18,415,6.0,0.00019682615023525
E1A4G4T19,385,6.0,0.0001813382019903
E1A4G4T2,389,6.0,0.0001807633988884
E1A4G4T20,411,6.0,0.0001954399732192
E1A4G4T21,393,6.0,0.00018194072007365
E1A4G4T22,431,6.0,0.00019286220515600001
E1A4G4T23,411,6.0,0.00018356025979979998
E1A4G4T24,398,6.0,0.0001702369793748
E1A4G4T25,431,6.0,0.00019977815178535
E1A4G4T26,417,6.0,0.00018878333490965
E1A4G4T27,403,6.0,0.0001868781867074
E1A4G4T28,416,6.0,0.00019897265726975
E1A4G4T29,430,6.0,0.00019632980768255
E1A4G4T3,414,6.0,0.00019062076999385
E1A4G4T30,410,6.0,0.0001816271345971
E1A4G4T31,419,6.0,0.00018347497121975
E1A4G4T32,411,6.0,0.00018947050972565
E1A4G4T33,424,6.0,0.0001910157793776
E1A4G4T34,405,6.0,0.0001803299575405
E1A4G4T35,403,6.0,0.0001866075720048
E1A4G4T36,426,6.0,0.00019142593056875
E1A4G4T37,351,6.0,0.00015978354749205
E1A4G4T38,411,6.0,0.00018582086349675002
E1A4G4T39,408,6.0,0.0001868578988059
E1A4G4T4,385,6.0,0.0001733255611499
E1A4G4T40,408,6.0,0.00017469056798205
E1A4G4T5,390,6.0,0.00017767468302365
E1A4G4T6,403,6.0,0.0001790678391181
E1A4G4T7,398,6.0,0.00018513720014735001
E1A4G4T8,392,6.0,0.00016332637565099999
E1A4G4T9,391,6.0,0.00017097702085885002
E1A4G6T1,394,6.0,0.00144133668846515
E1A4G6T10,398,6.0,0.0015737094957270002
E1A4G6T11,431,6.0,0.00172359162021825
E1A4G6T12,394,6.0,0.001460153942892
E1A4G6T13,401,6.0,0.0014912179848158
E1A4G6T14,419,6.0,0.0016572853246078498
E1A4G6T15,389,6.0,0.0014530937777439499
E1A4G6T16,400,6.0,0.00138519856243665
E1A4G6T17,385,6.0,0.00136416409136425
E1A4G6T18,416,6.0,0.00160357548546095
E1A4G6T19,392,6.0,0.00151887339748415
E1A4G6T2,402,6.0,0.0015813444771452
E1A4G6T20,424,6.0,0.00150094736282335
E1A4G6T21,413,6.0,0.00154037829499185
E1A4G6T22,428,6.0,0.00168709649104935
E1A4G6T23,395,6.0,0.0014530005458062499
E1A4G6T24,423,6.0,0.00159178422522905
E1A4G6T25,412,6.0,0.00153591716334065
E1A4G6T26,362,6.0,0.001258456862872
E1A4G6T27,410,6.0,0.0015465221813912998
E1A4G6T28,417,6.0,0.0015838372669512999
E1A4G6T29,381,6.0,0.0014938663872018
E1A4G6T3,404,6.0,0.0014414519433746
E1A4G6T30,365,6.0,0.0011942966602806
E1A4G6T31,387,6.0,0.0014407822943089499
E1A4G6T32,413,6.0,0.00168173697519995
E1A4G6T33,406,6.0,0.0015596234195456998
E1A4G6T34,407,6.0,0.0015609375501034
E1A4G6T35,403,6.0,0.0015245599071616002
E1A4G6T36,408,6.0,0.0014806744311682
