Filename,Sum_Rewards,Steps,Difference,Significant_Increase_Index
E1A4G4T27,403,6.0,0.0001868781867074,5.0
E1A4G4T28,416,6.0,0.0001989726572697,7.0
E1A4G4T29,430,6.0,0.0001963298076825,3.0
E1A4G4T3,414,6.0,0.0001906207699938,3.0
E1A4G4T30,410,6.0,0.0001816271345971,10.0
E1A4G4T31,419,6.0,0.0001834749712197,3.0
E1A4G4T32,411,6.0,0.0001894705097256,5.0
E1A4G4T33,424,6.0,0.0001910157793776,4.0
E1A4G4T34,405,6.0,0.0001803299575405,3.0
E1A4G4T35,403,6.0,0.0001866075720048,5.0
E1A4G4T36,426,6.0,0.0001914259305687,13.0
E1A4G4T37,351,6.0,0.000159783547492,83.0
E1A4G4T38,411,6.0,0.0001858208634967,5.0
E1A4G4T39,408,6.0,0.0001868578988059,4.0
E1A4G4T4,385,6.0,0.0001733255611499,3.0
E1A4G4T40,408,6.0,0.000174690567982,3.0
E1A4G4T5,390,6.0,0.0001776746830236,5.0
E1A4G4T6,403,6.0,0.0001790678391181,3.0
E1A4G4T7,398,6.0,0.0001851372001473,4.0
E1A4G4T8,392,6.0,0.0001633263756509,9.0
E1A4G4T9,391,6.0,0.0001709770208588,20.0
E1A4G6T1,394,6.0,0.0014413366884651,20.0
E1A4G6T10,398,6.0,0.001573709495727,28.0
E1A4G6T11,431,6.0,0.0017235916202182,6.0
E1A4G6T12,394,6.0,0.001460153942892,4.0
E1A4G6T13,401,6.0,0.0014912179848158,3.0
E1A4G6T14,419,6.0,0.0016572853246078,19.0
E1A4G6T15,389,6.0,0.0014530937777439,3.0
E1A4G6T16,400,6.0,0.0013851985624366,21.0
E1A4G6T17,385,6.0,0.0013641640913642,3.0
E1A4G6T18,416,6.0,0.0016035754854609,4.0
E1A4G6T19,392,6.0,0.0015188733974841,3.0
E1A4G6T2,402,6.0,0.0015813444771452,5.0
E1A4G6T20,424,6.0,0.0015009473628233,6.0
E1A4G6T21,413,6.0,0.0015403782949918,13.0
E1A4G6T22,428,6.0,0.0016870964910493,5.0
E1A4G6T23,395,6.0,0.0014530005458062,4.0
E1A4G6T24,423,6.0,0.001591784225229,3.0
E1A4G6T25,412,6.0,0.0015359171633406,3.0
E1A4G6T26,362,6.0,0.001258456862872,4.0
E1A4G6T27,410,6.0,0.0015465221813912,3.0
E1A4G6T28,417,6.0,0.0015838372669512,12.0
E1A4G6T29,381,6.0,0.0014938663872018,79.0
E1A4G6T3,404,6.0,0.0014414519433746,7.0
E1A4G6T30,365,6.0,0.0011942966602806,5.0
E1A4G6T31,387,6.0,0.0014407822943089,5.0
E1A4G6T32,413,6.0,0.0016817369751999,57.0
E1A4G6T33,406,6.0,0.0015596234195456,10.0
E1A4G6T34,407,6.0,0.0015609375501034,30.0
E1A4G6T35,403,6.0,0.0015245599071616,12.0
E1A4G6T36,408,6.0,0.0014806744311682,3.0
E1A4G6T37,409,6.0,0.0015022201044253,5.0
E1A4G6T38,389,6.0,0.0013177818177559,8.0
E1A4G6T39,382,6.0,0.0014227200512861,3.0
E1A4G6T4,404,6.0,0.0014808865716596,5.0
E1A4G6T40,415,6.0,0.0016623893249317,3.0
E1A4G6T5,372,6.0,0.0012078918588638,6.0
E1A4G6T6,396,6.0,0.0015157363134026,3.0
E1A4G6T7,398,6.0,0.0014215108198492,4.0
E1A4G6T8,437,6.0,0.0017102102121177,3.0
