Filename,Sum_Rewards,Steps,Q_Difference,Significant_Increase_Index
E1A1G6T6,3789,6.0,0.0,5
E1A1G6T7,3908,6.0,0.0,8
E1A1G6T8,3801,6.0,0.0,16
E1A1G6T9,3789,6.0,0.0,10
E1A1G9T1,3752,6.0,0.0,10
E1A1G9T10,3792,6.0,0.0,10
E1A1G9T11,3741,6.0,0.0,15
E1A1G9T12,3791,6.0,0.0,4
E1A1G9T13,3829,6.0,0.0,13
E1A1G9T14,3884,6.0,0.0,3
E1A1G9T15,3770,6.0,0.0,11
E1A1G9T16,3850,6.0,0.0,5
E1A1G9T17,3894,6.0,0.0,11
E1A1G9T18,3810,6.0,0.0,6
E1A1G9T19,3819,6.0,0.0,6
E1A1G9T2,3744,6.0,0.0,9
E1A1G9T20,3840,6.0,0.0,8
E1A1G9T21,3791,6.0,0.0,12
E1A1G9T22,3790,6.0,0.0,5
E1A1G9T23,3784,6.0,0.0,6
E1A1G9T24,3770,6.0,0.0,10
E1A1G9T25,3780,6.0,0.0,7
E1A1G9T26,3856,6.0,0.0,5
E1A1G9T27,3857,6.0,0.0,7
E1A1G9T28,3865,6.0,0.0,6
E1A1G9T29,3803,6.0,0.0,7
E1A1G9T3,3753,6.0,0.0,13
E1A1G9T30,3735,6.0,0.0,13
E1A1G9T4,3770,6.0,0.0,7
E1A1G9T5,3830,6.0,0.0,10
E1A1G9T6,3837,6.0,0.0,4
E1A1G9T7,3803,6.0,0.0,8
E1A1G9T8,3844,6.0,0.0,6
E1A1G9T9,3729,6.0,0.0,10
E1A4G1T1,3838,6.0,0.0,4
E1A4G1T10,3844,6.0,0.0,13
E1A4G1T11,3869,6.0,0.0,4
E1A4G1T12,3871,6.0,0.0,11
E1A4G1T13,3872,6.0,0.0,9
E1A4G1T14,3970,6.0,0.0,5
E1A4G1T15,3858,6.0,0.0,3
E1A4G1T16,3903,6.0,0.0,8
E1A4G1T17,3824,6.0,0.0,5
E1A4G1T18,3893,6.0,0.0,8
E1A4G1T19,3804,6.0,0.0,12
E1A4G1T2,3845,6.0,0.0,12
E1A4G1T20,3852,6.0,0.0,20
E1A4G1T21,3856,6.0,0.0,9
E1A4G1T22,3894,6.0,0.0,13
E1A4G1T23,3861,6.0,0.0,14
E1A4G1T24,3871,6.0,0.0,7
E1A4G1T25,3891,6.0,0.0,7
E1A4G1T26,3869,6.0,0.0,6
E1A4G1T27,3928,6.0,0.0,11
E1A4G1T28,3843,6.0,0.0,4
E1A4G1T29,3914,6.0,0.0,4
E1A4G1T3,3801,6.0,0.0,7
E1A4G1T30,3873,6.0,0.0,5
E1A4G1T4,3857,6.0,0.0,10
E1A4G1T5,3832,6.0,0.0,9
E1A4G1T6,3856,6.0,0.0,13
E1A4G1T7,3852,6.0,0.0,9
E1A4G1T8,3841,6.0,0.0,13
E1A4G1T9,3879,6.0,0.0,10
E1A4G4T1,3800,6.0,0.0,3
E1A4G4T10,3842,6.0,0.0,4
E1A4G4T11,3866,6.0,0.0,3
E1A4G4T12,3876,6.0,0.0,8
E1A4G4T13,3930,6.0,0.0,16
E1A4G4T14,3912,6.0,0.0,7
E1A4G4T15,3752,6.0,0.0,8
E1A4G4T16,3877,6.0,0.0,10
E1A4G4T17,3888,6.0,0.0,6
E1A4G4T18,3930,6.0,0.0,9
E1A4G4T19,3910,6.0,0.0,14
E1A4G4T2,3800,6.0,0.0,10
E1A4G4T20,3827,6.0,0.0,4
E1A4G4T21,3900,6.0,0.0,11
E1A4G4T22,3958,6.0,0.0,6
E1A4G4T23,3889,6.0,0.0,6
E1A4G4T24,3830,6.0,0.0,8
E1A4G4T25,3897,6.0,0.0,8
E1A4G4T26,3904,6.0,0.0,5
E1A4G4T27,3902,6.0,0.0,3
E1A4G4T28,3837,6.0,0.0,10
E1A4G4T29,3878,6.0,0.0,14
E1A4G4T3,3921,6.0,0.0,8
E1A4G4T30,3791,6.0,0.0,6
E1A4G4T4,3886,6.0,0.0,11
E1A4G4T5,3898,6.0,0.0,9
E1A4G4T6,3823,6.0,0.0,7
E1A4G4T7,3816,6.0,0.0,4
E1A4G4T8,3825,6.0,0.0,5
E1A4G4T9,3878,6.0,0.0,14
E1A4G6T1,3884,6.0,0.0,5
E1A4G6T10,3827,6.0,0.0,9
E1A4G6T11,3847,6.0,0.0,14
E1A4G6T12,3891,6.0,0.0,12
E1A4G6T13,3859,6.0,0.0,7
E1A4G6T14,3884,6.0,0.0,11
E1A4G6T15,3940,6.0,0.0,5
E1A4G6T16,3933,6.0,0.0,5
E1A4G6T17,3903,6.0,0.0,4
E1A4G6T18,3851,6.0,0.0,10
E1A4G6T19,3836,6.0,0.0,9
E1A4G6T2,3858,6.0,0.0,9
E1A4G6T20,3870,6.0,0.0,11
E1A4G6T21,3928,6.0,0.0,7
E1A4G6T22,3837,6.0,0.0,11
E1A4G6T23,3851,6.0,0.0,10
E1A4G6T24,3873,6.0,0.0,11
E1A4G6T25,3873,6.0,0.0,10
E1A4G6T26,3903,6.0,0.0,4
E1A4G6T27,3805,6.0,0.0,16
E1A4G6T28,3857,6.0,0.0,5
E1A4G6T29,3769,6.0,0.0,12
E1A4G6T3,3866,6.0,0.0,4
E1A4G6T30,3869,6.0,0.0,11
E1A4G6T4,3801,6.0,0.0,12
E1A4G6T5,3881,6.0,0.0,10
E1A4G6T6,3833,6.0,0.0,14
E1A4G6T7,3929,6.0,0.0,9
E1A4G6T8,3858,6.0,0.0,13
E1A4G6T9,3829,6.0,0.0,5
E1A4G9T1,3801,6.0,0.0,3
E1A4G9T10,3871,6.0,0.0,8
E1A4G9T11,3891,6.0,0.0,7
E1A4G9T12,3846,6.0,0.0,13
E1A4G9T13,3904,6.0,0.0,8
E1A4G9T14,3894,6.0,0.0,13
E1A4G9T15,3873,6.0,0.0,13
E1A4G9T16,3894,6.0,0.0,11
E1A4G9T17,3858,6.0,0.0,6
E1A4G9T18,3896,6.0,0.0,10
E1A4G9T19,3954,6.0,0.0,10
E1A4G9T2,3848,6.0,0.0,11
E1A4G9T20,3847,6.0,0.0,12
E1A4G9T21,3815,6.0,0.0,9
E1A4G9T22,3851,6.0,0.0,9
E1A4G9T23,3882,6.0,0.0,9
E1A4G9T24,3912,6.0,0.0,10
E1A4G9T25,3836,6.0,0.0,13
E1A4G9T26,3833,6.0,0.0,11
E1A4G9T27,3908,6.0,0.0,3
E1A4G9T28,3809,6.0,0.0,5
E1A4G9T29,3786,6.0,0.0,13
E1A4G9T3,3874,6.0,0.0,8
E1A4G9T30,3856,6.0,0.0,12
