Parameters,min_rewards,max_rewards,mean_rewards,median_rewards,iqr_rewards,shapiro_rewards,min_steps,max_steps,mean_steps,median_steps,iqr_steps,shapiro_steps,min_difference,max_difference,mean_difference,median_difference,iqr_difference,shapiro_difference,min_increase_index,max_increase_index,mean_increase_index,median_increase_index,iqr_increase_index,shapiro_increase_index
E6A9G1,2230,4904,4101.625,4370.0,843.0,2.2655635571274378e-05,7.0,10.0,7.675,7.0,1.0,9.478480145011239e-08,0.0,0.0016962310483293,0.000845276906038666,0.0009108347354173,0.001177020495766725,0.0014832669758917563,3.0,57.0,18.525,12.5,13.25,9.01723447547612e-06
E6A9G4,2357,4596,3914.3,4066.0,787.5,0.003424632313197986,8.0,10.0,8.25,8.0,0.0,6.122792811099859e-10,0.0,0.0688765332192578,0.044875327880395215,0.0502668801041978,0.03562745734216772,0.0006250726083914191,3.0,50.0,15.425,12.0,17.0,0.0006061864740459749
E6A9G6,2296,4317,3603.4,3746.0,771.25,0.0008179170263611011,8.0,10.0,8.55,8.0,1.0,1.0654005961401869e-07,0.0022814592753265,0.2246459308220768,0.1529786083687993,0.16480509901438045,0.093750890195305,0.00011760907453819284,3.0,44.0,15.575,12.0,15.5,0.0004298851807972965
E6A9G9,1554,3425,2761.0,2944.5,518.0,0.0019462147443171142,9.0,13.0,10.05,10.0,1.0,2.4040264848454735e-05,0.0,0.775739841440164,0.5389343058322477,0.6439176069090509,0.2421747822781813,1.176212783547526e-05,3.0,55.0,18.425,15.0,14.25,0.0011640440682798483
E9A1G1,0,3741,93.525,0.0,0.0,6.639886716141931e-14,28.0,81.0,78.55,80.0,1.0,2.2919097689922705e-13,0.0,0.0,0.0,0.0,0.0,,58.0,58.0,58.0,58.0,0.0,
E9A1G4,0,1,0.025,0.0,0.0,6.639886716141931e-14,77.0,82.0,79.8,80.0,1.0,0.001007692418921959,0.0,0.0,0.0,0.0,0.0,,,,,,,
E9A1G6,0,5990,282.725,0.0,0.0,1.0063031149766804e-12,6.0,82.0,76.1,80.0,1.0,3.1685183616740337e-12,0.0,0.0058528742635647,0.0001463218565891175,0.0,0.0,6.639886716141931e-14,33.0,77.0,57.333333333333336,62.0,22.0,0.6530229165484096
E9A1G9,0,7157,258.7,0.0,0.0,2.78941419174884e-13,6.0,82.0,77.025,80.0,1.0,8.020921353528704e-13,0.0,0.014735114471554,0.00036837786178885,0.0,0.0,6.639886716141931e-14,19.0,61.0,40.0,40.0,21.0,
E9A4G1,0,2,0.1,0.0,0.0,1.189209830023744e-12,79.0,82.0,80.0375,80.0,0.0,5.0600899099217004e-05,0.0,0.0,0.0,0.0,0.0,,,,,,,
E9A4G4,0,0,0.0,0.0,0.0,,79.0,82.0,79.9,80.0,1.0,3.2331828544005634e-05,0.0,0.0,0.0,0.0,0.0,,,,,,,
E9A4G6,0,3020,114.35,0.0,0.0,3.100126966724429e-13,42.0,82.0,78.65,80.0,1.25,2.648177050179242e-12,0.0,0.0,0.0,0.0,0.0,,66.0,81.0,73.5,73.5,7.5,
E9A4G9,0,629,15.775,0.0,0.0,6.722987008735437e-14,73.0,82.0,79.7875,80.0,2.0,4.324711871834158e-06,0.0,0.0,0.0,0.0,0.0,,90.0,90.0,90.0,90.0,0.0,
E9A6G1,0,4870,121.8,0.0,0.0,6.650557881997699e-14,8.0,81.5,78.0,80.0,1.0,1.7974093872521313e-13,0.0,5.188560027047634e-06,1.2971400067619087e-07,0.0,0.0,6.639886716141931e-14,43.0,43.0,43.0,43.0,0.0,
E9A6G4,0,5719,277.925,0.0,0.0,3.36698782492918e-13,7.0,83.0,76.425,80.0,0.0,6.739779675179226e-13,0.0,0.0048337481343649,0.0002196249825701675,0.0,0.0,3.546552445363045e-13,33.0,39.0,36.0,36.0,3.0,
E9A6G6,0,3251,121.125,0.0,0.0,4.181535265044443e-13,36.0,81.0,77.9625,79.0,1.0,1.559776447450797e-12,0.0,0.0,0.0,0.0,0.0,,60.0,92.0,80.33333333333333,89.0,16.0,0.16229542702491495
E9A6G9,0,5719,143.0,0.0,0.0,6.644771579084093e-14,7.0,82.0,78.3375,80.0,2.0,2.257608778999367e-13,0.0,0.0792821754696525,0.001982054386741312,0.0,0.0,6.639886716141931e-14,31.0,31.0,31.0,31.0,0.0,
E9A9G1,0,5731,143.275,0.0,0.0,6.639886716141931e-14,7.0,82.0,78.325,80.0,1.0,1.768018402101344e-13,0.0,2.891183147382295e-06,7.227957868455738e-08,0.0,0.0,6.639886716141931e-14,33.0,33.0,33.0,33.0,0.0,
E9A9G4,0,275,6.925,0.0,0.0,6.845901138961585e-14,76.0,82.0,79.85,80.0,2.0,0.0009971159292891999,0.0,0.0,0.0,0.0,0.0,,94.0,94.0,94.0,94.0,0.0,
E9A9G6,0,5993,149.825,0.0,0.0,6.639886716141931e-14,7.0,83.0,78.35,80.0,1.0,1.6516703950479401e-13,0.0,0.0235891882899207,0.0005897297072480175,0.0,0.0,6.639886716141931e-14,31.0,31.0,31.0,31.0,0.0,
E9A9G9,0,3893,97.375,0.0,0.0,6.653238825823867e-14,25.0,82.0,78.375,80.0,1.0,2.0416231776593185e-13,0.0,0.0,0.0,0.0,0.0,,53.0,53.0,53.0,53.0,0.0,
